Player,Pos,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Year,Pfr_ID,AV,Team,Round,Pick,YardsfromScrimmage,CareerLength
Marques Colston,WR,77,224,4.5,37,16,123,6.94,4.43,2006,ColsMa00,28,Saints,7,252,,
Corey Webster,CB,72,199,4.5,,9,,,,2005,WebsCo20,9,Giants,2,43,,
Tony Scott,CB,70,193,4.5,34,11,116,7.45,4.24,2000,ScotTo21,2,Jets,6,179,,
Jon McGraw,SS,75,208,4.5,39.5,13,126,6.51,3.92,2002,McGrJo21,5,Jets,2,57,,
Windrell Hayes,WR,71,204,4.5,,,,7.33,4.18,2000,HayeWi00,1,Jets,5,143,,
Sean Considine,FS,72,212,4.5,37,19,117,7.09,3.92,2005,ConsSe20,8,Eagles,4,102,,
Nate Allen,FS,72,207,4.5,,16,,,,2010,AlleNa99,14,Eagles,2,37,,
LeSean McCoy,RB,70,198,4.5,,,,,,2009,McCoLe01,32,Eagles,2,53,,
Shelton Gibson,WR,71,191,4.5,32,8,118,6.83,4.2,2017,GibsSh00,0,Eagles,5,166,,
Cortez Allen,CB,73,197,4.5,35.5,18,129,6.76,4.01,2011,AlleCo00,8,Steelers,4,128,,
Travis Feeney,OLB,76,230,4.5,40,,130,7.2,4.42,2016,FeenTr00,0,Steelers,6,220,,
Glen Coffee,RB,72,209,4.5,36,24,121,7.35,4.51,2009,CoffGl00,2,49ers,3,74,,
Michael Boulware,OLB,74,225,4.5,,,,6.89,3.92,2004,BoulMi20,17,Seahawks,2,53,,
Courtney Taylor,WR,74,204,4.5,36,,122,7.22,4.28,2007,TaylCo00,1,Seahawks,6,197,,
Vernon Hargreaves III,CB,70,204,4.5,39,15,130,,3.98,2016,HargVe00,8,Buccaneers,1,11,,
Quinton Ganther,RB,69,218,4.5,35,29,119,7.19,,2006,GantQu00,1,Titans,7,246,,
Javon Ringer,RB,69,205,4.5,34,23,115,6.87,4.11,2009,RingJa00,4,Titans,5,173,,
Chris Davis-02,WR,70,181,4.5,35.5,,115,6.66,4.14,2007,DaviCh02,0,Titans,4,128,,
Taywan Taylor,WR,71,203,4.5,33.5,13,132,6.57,4.21,2017,TaylTa00,2,Titans,3,72,,
Lloyd Harrison,CB,70,190,4.5,37.5,16,119,7.12,4.25,2000,HarrLl20,1,Football Team,3,64,,
Brandyn Thompson,CB,69,189,4.5,33.5,13,114,6.66,4.12,2011,ThomBr00,1,Football Team,7,213,,
Robert McCune,ILB,72,245,4.5,,34,,,,2005,McCuRo20,0,Football Team,5,154,,
DeJon Gomes,SS,71,208,4.5,31,13,110,,,2011,GomeDe00,5,Football Team,5,146,,
Josh Doctson,WR,74,202,4.5,41,14,131,6.84,4.08,2016,DoctJo00,5,Football Team,1,22,,
Curtis DeLoatch,CB,74,214,4.5,35.5,10,120,6.97,4.42,2004,DeLoCu20,7,,,,,
Jabari Greer,CB,70,178,4.5,36.5,7,126,,,2004,GreeJa22,3,,,,,
Cedrick Williams,CB,70,168,4.5,35,13,121,7.24,4.22,2005,,0,,,,,
Jerron Wishom,CB,72,193,4.5,38,18,118,6.81,4.07,2005,WishJe20,0,,,,,
D.J. Johnson,CB,73,197,4.5,32,7,116,7,4.3,2009,JohnDo99,0,,,,,
James Bradberry,CB,73,211,4.5,36,16,124,6.91,4.21,2016,,0,,,,,
Taron Johnson,CB,72,180,4.5,33,17,118,7.03,4.28,2018,,0,,,,,
Isaiah Oliver,CB,73,190,4.5,,,,,,2018,OlivIs00,0,,,,,
Lorenzo Carter,LB,78,250,4.5,36,,130,,,2018,CartLo01,0,,,,,
Rashad Baker,FS,70,204,4.5,36,21,117,7.19,4.12,2004,BakeRa21,3,,,,,
Jonathan Casillas,OLB,73,228,4.5,,24,,,,2009,CasiJo99,6,,,,,
Jarrett Brown,QB,75,224,4.5,34.5,,114,7.24,4.39,2010,BrowJa01,0,,,,,
Thomas Hamner,RB,72,197,4.5,32,17,125,6.97,4.07,2000,,0,,,,,
Ronney Jenkins,RB,70,184,4.5,,18,118,,,2000,JenkRo00,3,,,,,
Keith Smith-01,RB,70,207,4.5,,,,,,2000,,0,,,,,
Earnest Graham,RB,69,225,4.5,,22,,,,2003,GrahEa00,1,,,,,
Fred Russell,RB,67,195,4.5,34,21,121,7.09,4.3,2004,,0,,,,,
Ray Hudson,RB,70,192,4.5,,15,,,,2005,,0,,,,,
Ramonce Taylor,RB,70,195,4.5,34,,125,6.98,4.23,2007,,0,,,,,
Calvin Dawson,RB,68,199,4.5,,,,,,2008,,0,,,,,
Marlon Lucky,RB,71,216,4.5,33.5,18,114,7.1,,2009,,0,,,,,
Davin Meggett,RB,68,211,4.5,35,23,118,7.14,4.32,2012,MeggDa01,0,,,,,
Michael Ford,RB,69,210,4.5,38.5,25,130,6.87,4.25,2013,FordMi00,0,,,,,
David Johnson-02,RB,73,224,4.5,41.5,25,127,6.82,4.27,2015,,0,,,,,
Jessie Bates,SS,74,195,4.5,35.5,,117,6.78,4.26,2018,,0,,,,,
David Sims,SS,69,200,4.5,37.5,24,120,,4.28,2011,SimsDa01,1,,,,,
A.C. Leonard,TE,74,252,4.5,34,20,128,,,2014,,0,,,,,
Margin Hooks,WR,71,191,4.5,36,,116,7.08,4.18,2001,,0,,,,,
Pete Rebstock,WR,69,190,4.5,,,,,,2002,,0,,,,,
Terrence Edwards,WR,72,176,4.5,,,,,,2003,EdwaTe00,0,,,,,
B.J. Johnson,WR,71,207,4.5,,,,,,2004,,0,,,,,
Hank Baskett,WR,75,224,4.5,35,,119,6.79,4.17,2006,BaskHa00,9,,,,,
Maurice Purify,WR,75,224,4.5,28.5,,117,6.95,4.29,2008,PuriMa00,0,,,,,
Quan Cosby,WR,69,196,4.5,,,,7.28,4.47,2009,CosbQu00,0,,,,,
Chris Bell,WR,74,211,4.5,35,15,117,6.76,4.35,2010,,0,,,,,
Stephen Williams,WR,76,210,4.5,36.5,15,125,6.81,4.11,2010,WillSt01,1,,,,,
Armon Binns,WR,75,209,4.5,31.5,13,118,6.86,4.31,2011,BinnAr00,3,,,,,
O.J. Murdock,WR,70,197,4.5,34.5,15,116,,4.37,2011,MurdO.00,0,,,,,
Jock Sanders,WR,66,181,4.5,34.5,19,121,6.78,4.13,2011,,0,,,,,
Jimmy Young,WR,72,204,4.5,37,19,115,7.08,4.18,2011,,0,,,,,
Jerrell Jackson,WR,72,196,4.5,41,22,127,6.82,4.11,2012,JackJe00,0,,,,,
Jermaine Kearse,WR,73,209,4.5,34,14,119,7.03,4.12,2012,KearJe01,10,,,,,
Eric Page,WR,69,186,4.5,30,15,112,6.95,3.98,2012,PageEr00,1,,,,,
Tyrone Goard,WR,76,205,4.5,36,10,123,6.9,4.39,2013,,0,,,,,
Da'Rick Rogers,WR,74,217,4.5,39.5,10,132,6.71,4.06,2013,RogeDa01,2,,,,,
Damian Copeland,WR,71,184,4.5,40,12,120,6.53,3.9,2014,CopeDa00,0,,,,,
Quadree Henderson,WR,68,192,4.5,32.5,12,120,6.89,4.28,2018,HendQu00,0,,,,,
Jordan Lasley,WR,73,203,4.5,34.5,8,112,,4.19,2018,LaslJo00,0,,,,,
Michael Stone,CB,71,191,4.51,41,17,127,,,2001,StonMi20,2,Cardinals,2,54,,
Thomas Brown,RB,68,204,4.51,36,25,128,7.17,,2008,BrowTh01,0,Falcons,6,172,,
Harry Douglas,WR,71,176,4.51,31,,120,6.57,4.12,2008,DougHa00,13,Falcons,3,84,,
Marcus Smith-01,WR,73,221,4.51,26.5,20,111,7.1,4.42,2008,SmitMa01,0,Ravens,4,106,,
Robert Woods,WR,72,201,4.51,33.5,14,117,7.15,4.47,2013,WoodRo02,14,Bills,2,41,,
Tim Shaw,OLB,73,236,4.51,36.5,26,116,7.01,4.12,2007,ShawTi99,2,Panthers,5,164,,
Joe Adams,WR,71,179,4.51,36,,123,7.09,,2012,AdamJo01,0,Panthers,4,104,,
Marcus Freeman,OLB,73,239,4.51,37,30,113,6.98,4.12,2009,,0,Bears,5,154,,
Greg Olsen,TE,78,254,4.51,35.5,23,114,7.04,4.48,2007,OlseGr00,13,Bears,1,31,,
Marquess Wilson,WR,75,194,4.51,34.5,7,122,6.65,4.33,2013,WilsMa02,5,Bears,7,236,,
Mohamed Massaquoi,WR,73,210,4.51,36.5,,127,,,2009,MassMo00,11,Browns,2,50,,
Greg Little,WR,74,231,4.51,40.5,27,129,6.8,4.21,2011,LittGr00,13,Browns,2,59,,
B.W. Webb,CB,70,184,4.51,40.5,14,132,6.82,3.84,2013,WebbBW00,3,Cowboys,4,114,,
Ryan Switzer,WR,68,181,4.51,32,11,116,6.77,4,2017,SwitRy00,1,Cowboys,4,133,,
Omar Bolden,CB,70,202,4.51,,24,,,,2012,BoldOm00,3,Broncos,4,101,,
Triandos Luke,WR,71,199,4.51,38,,124,7.06,4.17,2004,LukeTr00,0,Broncos,6,171,,
Alex Carter,CB,72,196,4.51,40,17,121,7.05,4.07,2015,CartAl01,0,Lions,3,80,,
Gerald Alexander,FS,72,210,4.51,41,15,124,7.24,4.21,2007,AlexGe99,10,Lions,2,61,,
Cliff Avril,OLB,75,253,4.51,32.5,27,117,6.9,4.51,2008,AvriCl99,12,Lions,3,92,,
Morgan Burnett,FS,73,209,4.51,,16,,,,2010,BurnMo99,13,Packers,3,71,,
Jordy Nelson,WR,75,217,4.51,31,,123,7.03,4.35,2008,NelsJo00,11,Packers,2,36,,
Raymond Walls,CB,71,176,4.51,39,,124,,4.18,2001,WallRa20,1,Colts,5,152,,
Coby Fleener,TE,78,247,4.51,,27,,,,2012,FleeCo00,15,Colts,2,34,,
Trae Williams,CB,69,193,4.51,29.5,,110,,,2008,WillTr97,0,Jaguars,5,159,,
Aaron Colvin,CB,71,177,4.51,,,,,,2014,ColvAa00,8,Jaguars,4,114,,
Josh Gattis,FS,73,206,4.51,34.5,22,121,6.72,4.27,2007,GattJo99,0,Jaguars,5,150,,
Justin Durant,ILB,73,230,4.51,36,25,121,6.77,4.09,2007,DuraJu99,16,Jaguars,2,48,,
Leonard Fournette,RB,72,240,4.51,28.5,,,,,2017,FourLe00,8,Jaguars,1,4,,
Javarris Williams,RB,69,223,4.51,33.5,25,116,,,2009,WillJa05,0,Chiefs,7,212,,
Dwayne Bowe,WR,74,221,4.51,33,,125,6.81,4.35,2007,BoweDw00,19,Chiefs,1,23,,
Damen Wheeler,CB,69,179,4.51,35,11,115,7.21,4.27,2000,WheeDa20,0,Chargers,6,203,,
Rayshawn Jenkins,FS,73,214,4.51,37,19,128,,,2017,JenkRa00,1,Chargers,4,113,,
Jason Shivers,FS,72,201,4.51,36,19,128,,,2004,ShivJa20,0,Rams,5,158,,
Robert Thomas-01,OLB,72,229,4.51,34,21,116,7.21,4.1,2002,ThomRo20,14,Rams,1,31,,
Will Davis-02,CB,71,186,4.51,35.5,16,127,6.52,4.02,2013,DaviWi02,0,Dolphins,3,93,,
Bobby McCain,CB,69,195,4.51,36,17,130,6.8,3.82,2015,McCaBo01,9,Dolphins,5,145,,
Reshad Jones,SS,73,214,4.51,39.5,24,118,7.43,4.54,2010,JoneRe99,15,Dolphins,5,163,,
Cedric Griffin,FS,72,199,4.51,35.5,17,125,6.84,4.1,2006,GrifCe20,16,Vikings,2,48,,
Nate Burleson,WR,72,197,4.51,42.5,,126,6.96,4.16,2003,BurlNa00,19,Vikings,3,71,,
Sidney Rice,WR,75,200,4.51,39.5,,119,7.09,4.34,2007,RiceSi01,19,Vikings,2,44,,
Malcolm Jenkins,CB,72,204,4.51,33,15,124,6.59,4.08,2009,JenkMa99,20,Saints,1,14,,
Bennett Jackson,CB,72,195,4.51,38,13,128,6.75,4,2014,JackBe00,0,Giants,6,187,,
Ramses Barden,WR,78,229,4.51,33.5,17,118,,4.26,2009,BardRa00,2,Giants,3,85,,
Hakeem Nicks,WR,73,212,4.51,36,,,,,2009,NickHa01,26,Giants,1,29,,
Bilal Powell,RB,70,207,4.51,,18,,,,2011,PoweBi00,8,Jets,4,126,,
Shaquelle Evans,WR,73,213,4.51,34.5,13,122,7.07,4.21,2014,EvanSh00,0,Jets,4,115,,
Keith McGill,CB,75,211,4.51,39,,129,7.29,4.18,2014,McGiKe00,3,Raiders,4,116,,
Johnnie Morant,WR,76,229,4.51,41,,130,7.34,4.22,2004,MoraJo00,0,Raiders,5,134,,
Trevard Lindley,CB,71,183,4.51,38.5,9,116,6.81,4.27,2010,LindTr99,1,Eagles,4,105,,
Freddie Milons,WR,70,190,4.51,33.5,,117,6.84,,2002,,0,Eagles,5,162,,
Josh Huff,WR,71,206,4.51,35.5,14,116,,,2014,HuffJo00,6,Eagles,3,86,,
Curtis Brown,CB,72,185,4.51,39.5,10,128,6.59,4,2011,BrowCu01,2,Steelers,3,95,,
Patrick Willis,ILB,73,242,4.51,39,22,119,7.23,4.46,2007,WillPa98,49,49ers,1,11,,
Rasheed Marshall,WR,72,185,4.51,38,,121,6.81,3.95,2005,MarsRa00,0,49ers,5,174,,
Tharold Simon,CB,74,202,4.51,34,9,128,,,2013,SimoTh00,3,Seahawks,5,138,,
Kevin Pierre-Louis,OLB,72,232,4.51,39,28,128,6.92,4.02,2014,PierKe00,3,Seahawks,4,132,,
Dwight Smith,CB,70,212,4.51,33.5,15,114,,,2001,SmitDw20,13,Buccaneers,3,84,,
O.J. Howard,TE,78,251,4.51,30,22,121,6.85,4.16,2017,HowaO.00,3,Buccaneers,1,19,,
Kaelin Clay,WR,70,195,4.51,33,10,113,6.97,4.26,2015,ClayKa00,3,Buccaneers,6,184,,
Ryan Smith-01,CB,70,174,4.51,,11,,,,2007,,0,Titans,6,206,,
Terna Nande,OLB,72,232,4.51,39,41,124,6.97,4.11,2006,NandTe20,0,Titans,5,137,,
Jake Locker,QB,74,231,4.51,35,,120,6.77,4.12,2011,LockJa00,13,Titans,1,8,,
Justin McCareins,WR,74,209,4.51,41,,129,7.06,3.99,2001,McCaJu00,14,Titans,4,124,,
Sean Taylor,FS,74,230,4.51,,,,,,2004,TaylSe20,24,Football Team,1,5,,
Lache Seastrunk,RB,69,201,4.51,41.5,15,134,,,2014,SeasLa00,0,Football Team,6,186,,
William James,CB,72,197,4.51,38.5,13,120,,,2001,,0,,,,,
Chris Hawkins-01,CB,70,183,4.51,37,16,116,,4.18,2006,,0,,,,,
Rashaad Reynolds,CB,70,189,4.51,37.5,20,123,6.72,4,2014,ReynRa00,0,,,,,
Sojourn Shelton,CB,69,177,4.51,35,10,120,6.92,4.02,2017,ShelSo00,0,,,,,
D.J. Reed,CB,69,188,4.51,36.5,11,,,,2018,ReedD.00,0,,,,,
Brandon Jennings,FS,72,198,4.51,38,16,123,6.91,4.14,2000,JennBr20,1,,,,,
James Butler,FS,74,213,4.51,40.5,16,127,7.1,3.98,2005,ButlJa20,8,,,,,
Nehemiah Warrick,FS,73,211,4.51,29.5,16,119,6.98,4.09,2008,,0,,,,,
Brad McDougald,FS,72,215,4.51,34.5,19,122,7.07,4.44,2013,,0,,,,,
Wesley Woodyard,OLB,72,227,4.51,30,,118,7.15,4.25,2008,WoodWe20,6,,,,,
Roquan Smith,OLB,73,236,4.51,,,,,,2018,SmitRo07,0,,,,,
Ran Carthon,RB,71,224,4.51,34.5,22,112,,4.12,2004,CartRa00,0,,,,,
Alex Haynes,RB,70,223,4.51,32.5,21,,,,2005,HaynAl00,0,,,,,
Wendell Mathis,RB,71,210,4.51,33,20,117,6.93,4.22,2006,,0,,,,,
Stanley Williams,RB,67,190,4.51,36,18,121,6.86,4.18,2017,WillSt03,0,,,,,
Trey Walker,SS,74,200,4.51,33,14,119,7,4.28,2018,,0,,,,,
Jeron Johnson,SS,70,212,4.51,,23,,,,2011,JohnJe02,1,,,,,
Matt Farmer,WR,72,190,4.51,33,,108,6.63,3.94,2000,,0,,,,,
Shawn Mills,WR,72,180,4.51,34.5,,116,7.12,4.15,2001,,0,,,,,
Ryan Hoag,WR,74,200,4.51,38,,125,6.72,3.95,2003,,0,,,,,
Jared Perry,WR,73,178,4.51,33.5,11,121,6.75,4.39,2010,,0,,,,,
Andre Holmes,WR,76,210,4.51,35,11,130,6.69,4.31,2011,HolmAn00,7,,,,,
Owen Spencer,WR,74,195,4.51,37.5,6,125,6.86,4.18,2011,SpenOw00,0,,,,,
Tim Benford,WR,71,205,4.51,,15,,,,2012,BenfTi00,0,,,,,
Dwight Jones,WR,75,230,4.51,33,14,109,,,2012,JoneDw00,0,,,,,
Marquis Maze,WR,68,186,4.51,33.5,,112,,,2012,,0,,,,,
Rodney Smith,WR,76,225,4.51,34.5,,120,7.03,4.07,2013,SmitRo05,0,,,,,
Corey Brown-02,WR,71,178,4.51,33,,116,7.16,4.22,2014,BrowPh00,11,,,,,
Titus Davis,WR,73,196,4.51,32.5,,119,7.14,4.28,2015,DaviTi00,0,,,,,
Deon Long,WR,72,192,4.51,34,12,120,6.98,4.27,2015,LongDe00,0,,,,,
Fred Ross,WR,73,213,4.51,35,10,113,6.99,4.28,2017,RossFr00,0,,,,,
Jamari Staples,WR,75,195,4.51,36,,130,,,2017,StapJa00,0,,,,,
Michael Gallup,WR,73,205,4.51,36,10,122,6.95,4.37,2018,GallMi00,0,,,,,
Davon Grayson,WR,73,199,4.51,34.5,19,124,,,2018,,0,,,,,
Chris Lacy,WR,75,205,4.51,33.5,11,120,,,2018,,0,,,,,
Eric Green,CB,71,198,4.52,38,,120,,3.9,2005,GreeEr20,9,Cardinals,3,75,,
Justin Bethel,FS,72,200,4.52,39.5,19,131,6.79,4.3,2012,BethJu00,7,Cardinals,6,177,,
Haason Reddick,OLB,73,237,4.52,36.5,24,133,7.01,4.37,2017,ReddHa00,3,Cardinals,1,13,,
Chevis Jackson,CB,72,192,4.52,36,13,125,6.96,4.15,2008,JackCh99,4,Falcons,3,68,,
Demorrio Williams,OLB,73,232,4.52,37,16,125,7.02,4.11,2004,WillDe22,16,Falcons,4,101,,
LaTarence Dunbar,WR,71,196,4.52,34,,122,7.41,4.35,2003,DunbLa20,0,Falcons,6,196,,
Devard Darling,WR,73,213,4.52,37,,129,,,2004,DarlDe00,0,Ravens,3,82,,
Demetrius Williams,WR,74,197,4.52,38,,127,6.84,4.08,2006,WillDe03,8,Ravens,4,111,,
Xavier Omon,RB,71,228,4.52,31,17,112,,,2008,OmonXa00,0,Bills,6,179,,
Shawn Nelson,TE,77,240,4.52,33,19,115,6.96,4.46,2009,NelsSh00,1,Bills,4,121,,
Ricky Manning,CB,69,185,4.52,36.5,12,117,7.11,4.17,2003,MannRi20,15,Panthers,3,82,,
Chris Gamble,CB,73,198,4.52,,,,,,2004,GambCh20,24,Panthers,1,28,,
Kenjon Barner,RB,69,196,4.52,35.5,20,122,6.87,4.2,2013,BarnKe00,1,Panthers,6,182,,
Chris Conte,FS,74,197,4.52,35.5,18,127,7.01,4.19,2011,ContCh00,15,Bears,3,93,,
Darqueze Dennard,CB,71,199,4.52,,15,,,,2014,DennDa00,4,Bengals,1,24,,
Marquand Manuel,SS,72,209,4.52,,18,,,,2002,ManuMa20,5,Bengals,6,181,,
DeMario Minter,CB,71,190,4.52,38.5,10,131,6.87,4.1,2006,,0,Browns,5,152,,
Joe Haden,CB,71,193,4.52,35,18,125,6.94,4.34,2010,HadeJo99,17,Browns,1,7,,
Trevin Wade,CB,70,192,4.52,34.5,18,116,6.87,4,2012,WadeTr00,1,Browns,7,245,,
Ifo Ekpre-Olomu,CB,69,192,4.52,,,,,,2015,EkprIf00,0,Browns,7,241,,
Brodney Pool,FS,73,207,4.52,,,,,,2005,PoolBr20,12,Browns,2,34,,
Ibraheim Campbell,SS,71,208,4.52,,23,,,,2015,CampIb00,5,Browns,4,115,,
Jamar Wall,CB,70,204,4.52,,15,,,,2010,WallJa99,0,Cowboys,6,196,,
Justin Beriault,FS,75,204,4.52,39.5,14,132,6.92,3.8,2005,,0,Cowboys,6,208,,
Dez Bryant,WR,74,225,4.52,,,,,,2010,BryaDe01,26,Cowboys,1,24,,
Terrance Williams,WR,74,208,4.52,32.5,11,119,7.01,4.32,2013,WillTe01,19,Cowboys,3,74,,
Brandon Marshall-01,WR,76,229,4.52,37,,120,,,2006,MarsBr00,26,Broncos,4,119,,
Demaryius Thomas,WR,75,224,4.52,,,,,,2010,ThomDe03,19,Broncos,1,22,,
Cody Latimer,WR,74,215,4.52,,23,,,,2014,LatiCo00,1,Broncos,2,56,,
Amari Spievey,CB,71,195,4.52,35,,116,,,2010,SpieAm99,12,Lions,3,66,,
Louis Delmas,FS,71,202,4.52,37,12,126,6.67,4.17,2009,DelmLo99,16,Lions,2,33,,
Demetri Goodson,CB,71,194,4.52,37,11,123,6.8,4.34,2014,GoodDe00,2,Packers,6,197,,
Malachi Dupre,WR,74,196,4.52,39.5,11,135,7.19,4.26,2017,DuprMa01,0,Packers,7,247,,
Kevin Johnson,CB,72,188,4.52,41.5,,130,6.79,3.89,2015,JohnKe04,9,Texans,1,16,,
Jonathan Wells,RB,73,243,4.52,,,,,,2002,WellJo00,6,Texans,4,99,,
Marlin Jackson,CB,73,198,4.52,36,23,125,6.95,3.96,2005,JackMa22,11,Colts,1,29,,
Nate Hairston,CB,72,196,4.52,35.5,14,118,,,2017,HairNa00,2,Colts,5,158,,
Mike Harris,CB,70,188,4.52,36,,117,6.81,4.07,2012,HarrMi00,9,Jaguars,6,176,,
Telvin Smith,OLB,75,218,4.52,31.5,,119,,,2014,SmitTe01,22,Jaguars,5,144,,
Rashad Jennings,RB,73,231,4.52,34,29,120,6.86,4.2,2009,JennRa00,10,Jaguars,7,250,,
Chad Nkang,SS,71,220,4.52,36.5,23,118,7.1,4.34,2007,NkanCh99,1,Jaguars,7,251,,
Marqise Lee,WR,72,192,4.52,38,,127,,4.01,2014,LeexMa00,12,Jaguars,2,39,,
Jalil Brown,CB,73,204,4.52,35.5,24,116,6.85,4.25,2011,BrowJa00,2,Chiefs,4,118,,
Derrick Johnson-02,OLB,75,242,4.52,37.5,,120,7.2,3.87,2005,JohnDe25,22,Chiefs,1,15,,
Hanik Milligan,FS,74,201,4.52,36.5,9,130,7.11,4.18,2003,MillHa99,5,Chargers,6,188,,
Melvin Gordon,RB,73,215,4.52,35,19,126,7.04,4.07,2015,GordMe00,25,Chargers,1,15,,
Brandon Taylor,SS,71,209,4.52,33.5,,118,7.32,4.37,2012,TaylBr02,1,Chargers,3,73,,
O.J. Atogwe,FS,71,219,4.52,,22,,,,2005,AtogO.20,14,Rams,3,66,,
Brian Leonard,RB,73,226,4.52,34.5,28,122,6.88,4.22,2007,LeonBr00,5,Rams,2,52,,
Todd Gurley,RB,73,222,4.52,,17,,,,2015,GurlTo01,31,Rams,1,10,,
Stedman Bailey,WR,70,193,4.52,34.5,11,117,6.81,4.09,2013,BailSt01,7,Rams,3,92,,
Pharoh Cooper,WR,71,203,4.52,31,15,115,,,2016,CoopPh00,3,Rams,4,117,,
Josh Reynolds,WR,75,194,4.52,37,,124,6.83,4.13,2017,ReynJo00,1,Rams,4,117,,
Michael Egnew,TE,77,252,4.52,36,21,131,7.03,4.32,2012,EgneMi00,0,Dolphins,3,78,,
B.J. Cunningham,WR,73,211,4.52,31.5,12,116,7.1,,2012,CunnB.00,0,Dolphins,6,183,,
Greg Childs,WR,75,219,4.52,36.5,19,125,,,2012,ChilGr00,0,Vikings,4,134,,
Laquon Treadwell,WR,74,221,4.52,33,12,117,,,2016,TreaLa00,2,Vikings,1,23,,
Jemea Thomas,CB,69,192,4.52,37,19,125,,,2014,ThomJe03,0,Patriots,6,206,,
Brandon Tate,WR,72,183,4.52,,,,,,2009,TateBr00,9,Patriots,3,83,,
Vonn Bell,FS,71,199,4.52,,16,,,,2016,BellVo00,8,Saints,2,61,,
DeAndre Wright,CB,71,198,4.52,34.5,17,122,7,4.44,2009,WrigDe99,0,Giants,6,200,,
Charles Drake,FS,73,205,4.52,,20,,,,2003,,0,Giants,7,240,,
Derrick Strait,CB,71,196,4.52,,,,,,2004,StraDe20,3,Jets,3,76,,
Jonathan Dowling,FS,75,190,4.52,33.5,8,118,7.04,4.24,2014,DowlJo00,0,Raiders,7,247,,
Doug Gabriel,WR,74,213,4.52,35.5,,116,7.05,4.16,2003,GabrDo00,11,Raiders,5,167,,
Cameron Sutton,CB,71,188,4.52,34,11,120,6.81,,2017,SuttCa00,1,Steelers,3,94,,
George Kittle,TE,76,247,4.52,35,18,132,,,2017,KittGe00,4,49ers,5,146,,
DeAndre Smelter,WR,74,226,4.52,,,,,,2015,SmelDe00,0,49ers,4,132,,
Aaron Curry,OLB,74,254,4.52,37,25,124,7.15,4.51,2009,CurrAa99,18,Seahawks,1,4,,
Tanard Jackson,FS,72,200,4.52,32.5,12,121,6.89,4.28,2007,JackTa99,22,Buccaneers,4,106,,
Cory Boyd,RB,72,213,4.52,33.5,25,118,6.97,4.24,2008,BoydCo01,0,Buccaneers,7,238,,
Alterraun Verner,CB,70,189,4.52,32,11,116,6.7,4.12,2010,VernAl99,14,Titans,4,104,,
Marcus Mariota,QB,76,222,4.52,36,,121,6.87,4.11,2015,MariMa01,34,Titans,1,2,,
Damian Williams,WR,73,197,4.52,38,19,118,6.79,4.24,2010,WillDa04,8,Titans,3,77,,
Glenn Sharpe,CB,72,184,4.52,37,15,,,,2008,,0,,,,,
Marshay Green,CB,69,180,4.52,35.5,,124,6.66,4.11,2010,GreeMa01,0,,,,,
Micah Pellerin,CB,72,194,4.52,33,14,116,,,2012,PellMi00,0,,,,,
Ashton Lampkin,CB,72,189,4.52,34.5,19,120,,,2017,LampAs00,0,,,,,
Nick Nelson,CB,71,208,4.52,,17,123,,,2018,NelsNi00,0,,,,,
Isaac Yiadom,CB,73,190,4.52,,8,120,,4.18,2018,YiadIs00,0,,,,,
Jonathan Hefney,FS,68,190,4.52,29,14,117,7.1,4.44,2008,,0,,,,,
Malik Jefferson,OLB,75,236,4.52,36,27,125,,,2018,JeffMa00,0,,,,,
Boo Williams-01,RB,71,222,4.52,,,,,,2000,,0,,,,,
Demontray Carter,RB,70,191,4.52,33,16,120,7.38,4.36,2002,,0,,,,,
Walter Reyes,RB,70,209,4.52,32,16,109,7.23,4.38,2005,,0,,,,,
Rafael Little,RB,69,194,4.52,,8,,,,2008,LittRa00,0,,,,,
Keiland Williams,RB,71,233,4.52,,,,,,2010,WillKe03,5,,,,,
Chris Polk,RB,70,215,4.52,31.5,,111,7.13,4.21,2012,PolkCh00,3,,,,,
D.J. Harper,RB,69,211,4.52,33.5,23,120,7.07,4.35,2013,,0,,,,,
Nick Chubb,RB,71,227,4.52,38.5,29,128,7.09,4.25,2018,ChubNi00,0,,,,,
Justin Jackson,RB,72,199,4.52,38.5,13,122,6.81,4.07,2018,JackJu01,0,,,,,
Bo Scarbrough,RB,73,228,4.52,40,14,129,,4.34,2018,ScarBo01,0,,,,,
Ricky Hall,WR,74,206,4.52,,,,,,2000,,0,,,,,
Muneer Moore,WR,73,201,4.52,37.5,,129,6.91,4.09,2000,,0,,,,,
Atrews Bell,WR,71,218,4.52,,,,,,2002,,0,,,,,
Terry Charles,WR,75,207,4.52,36.5,,122,7.02,4.09,2002,,0,,,,,
Donnie O'Neal,WR,73,191,4.52,38,,126,6.9,,2002,,0,,,,,
Josh Davis-02,WR,72,191,4.52,37.5,,118,7.19,4.22,2005,,0,,,,,
Tony Madison,WR,73,213,4.52,39,,121,7.13,4.3,2005,,0,,,,,
Lance Moore,WR,69,177,4.52,,,,,,2005,MoorLa00,12,,,,,
Drisan James,WR,72,193,4.52,39,14,126,7.09,4.39,2007,,0,,,,,
Marquay McDaniel,WR,70,205,4.52,33.5,19,114,7.13,4.35,2007,,0,,,,,
Darnell Jenkins,WR,69,187,4.52,26.5,13,115,7.33,4.37,2008,JenkDa20,0,,,,,
